Sepal Length, Sepal Width, Petal Length, Petal Width, Type, f(a), Class.
5.1,3.5,1.4,0.2,Iris-setosa,,
4.9,3,1.4,0.2,Iris-setosa,,
4.7,3.2,1.3,0.2,Iris-setosa,,
4.6,3.1,1.5,0.2,Iris-setosa,,
5,3.6,1.4,0.2,Iris-setosa,,
5.4,3.9,1.7,0.4,Iris-setosa,,
4.6,3.4,1.4,0.3,Iris-setosa,,
5,3.4,1.5,0.2,Iris-setosa,,
4.4,2.9,1.4,0.2,Iris-setosa,,
4.9,3.1,1.5,0.1,Iris-setosa,,
5,2,3.5,1,Iris-versicolor,-2.722704,1
5.9,3,4.2,1.5,Iris-versicolor,-2.339341,1
6,2.2,4,1,Iris-versicolor,-6.109383,1
6.1,2.9,4.7,1.4,Iris-versicolor,0.513511,1
5.6,2.9,3.6,1.3,Iris-versicolor,-7.10569,1
6.7,3.1,4.4,1.4,Iris-versicolor,-7.553263,1
5.6,3,4.5,1.5,Iris-versicolor,2.760434,1
5.8,2.7,4.1,1,Iris-versicolor,-5.509115,1
6.2,2.2,4.5,1.5,Iris-versicolor,1.249474,1
5.6,2.5,3.9,1.1,Iris-versicolor,-4.386258,1
6.1,3,4.9,1.8,Iris-virginica,5.307951,0
6.4,2.8,5.6,2.1,Iris-virginica,12.949141,0
7.2,3,5.8,1.6,Iris-virginica,4.116905,0
7.4,2.8,6.1,1.9,Iris-virginica,8.674771,0
7.9,3.8,6.4,2,Iris-virginica,4.95491,0
6.4,2.8,5.6,2.2,Iris-virginica,13.761572,0
6.3,2.8,5.1,1.5,Iris-virginica,4.034577,0
6.1,2.6,5.6,1.4,Iris-virginica,10.229117,0
7.7,3,6.1,2.3,Iris-virginica,8.957499,0
6.3,3.4,5.6,2.4,Iris-virginica,13.918193,0